occ_group,occ_group_code,supply_elasticity,beta_calibrated,barrier_index,share_college,share_55_plus,total_emp,beta_iv,beta_ols,beta_reduced_form,se_iv,first_stage_f,n_obs,beta_working
Architecture and Engineering,1300,0.4401299513914174,2.2720562343885513,0.7583583043110103,0.7356185541222967,0.18974007571759433,2838442.0,-0.0467463837220788,-0.01656459851162827,-0.03744501479177397,0.11505506249352637,18.153064218945325,461,2.2720562343885513
"Arts, Design, Entertainment, Sports, Media",2600,0.5935293511769203,1.6848366437431974,0.5870054100355934,0.6551708464571118,0.14832577037426892,2613703.5999999996,-1.0616394708699948,0.08744095276322185,-0.6650776678505942,0.619817527074744,5.428054134545785,444,1.6848366437431974
Building and Grounds Cleaning and Maintenance,4200,0.8449679639488382,1.1834768212118263,0.30613903056273384,0.07884049143128376,0.23796302185334234,3748332.8,-0.03637285837769291,-0.03877078188866046,-0.05520872607157161,0.05103501468921251,145.0820107899315,519,1.1834768212118263
Business and Financial Operations,500,0.47260416527185867,2.115935646535753,0.7220833870328892,0.7205594485584623,0.18027410364663346,6972880.6,0.31955788968059756,0.03116406960287126,0.24420671847925018,0.6066725979459947,1.0092739903582078,518,2.115935646535753
Community and Social Service,2000,0.4492172813032217,2.22609423461828,0.7482074152997066,0.7728059792464796,0.17241846779386405,2063939.0,-0.53341971160154,-0.009746198465985383,-0.7080539549149439,0.15644949186267737,21.085621608215053,491,2.22609423461828
Computer and Mathematical,1000,0.5623873762422064,1.7781337957509997,0.6217921663460964,0.7293912572640046,0.13621761902574467,5076607.6,-0.7027061998801785,0.003729047593227973,-0.7589379707843972,0.3002543150785438,8.87980548074942,469,1.7781337957509997
Construction and Extraction,6200,1.004416139584318,0.9956032769583475,0.12802942635125408,0.0717716857440598,0.167785888637334,5636147.4,0.05109052458874342,0.032418144183065795,0.06966380028619816,0.04442972521484903,127.30292263370664,519,0.9956032769583475
"Education, Training, and Library",2200,0.45551091667924987,2.1953370674190773,0.7411771880712784,0.7842567082247323,0.16549144538088567,7325060.200000001,-0.5295791855911125,-0.006399341659941292,2.7263255723549267,0.2468865859194073,7.388509168467148,520,2.1953370674190773
"Farming, Fishing, and Forestry",6000,1.0057990630974305,0.9942343721423126,0.12648464881715232,0.08547699878264146,0.1622983214169367,466584.0,-0.5138266154793621,-0.03995349611703728,-0.5364098163982608,0.3476913641511845,6.3640534869505565,262,0.9942343721423126
Food Preparation and Serving,4000,1.0794530850987287,0.926395054870345,0.04421033834008871,0.12267781626401363,0.11554010077962393,5131473.8,0.12535547100607355,0.0958238507576801,0.1682817895556204,0.03517455443162467,239.7910359206487,520,0.926395054870345
Healthcare Practitioners and Technical,3000,0.5392409901885846,1.854458429894726,0.647647549403984,0.6655311779240808,0.16940068217584442,7659198.2,-0.15374853088667007,0.002353048908889481,-0.30166421114854386,0.06399289598743181,86.20919887580823,520,1.854458429894726
Healthcare Support,3600,0.9419793451612634,1.061594402400409,0.1977736720825254,0.16617869158638734,0.1627889095017829,2744129.2,-0.09698505157655954,-0.010779561628634483,-0.0757830762335944,0.694744380450519,0.7521726901631864,512,1.061594402400409
"Installation, Maintenance, and Repair",7000,0.9110025824974061,1.0976917291042336,0.23237588007784132,0.08997106122372567,0.2039173329305693,3440228.4000000004,-0.07059638235844377,-0.016444233242906964,-0.09982352301228099,0.21207092613205927,4.0870830509440355,517,1.0976917291042336
Legal,2100,0.3303021641513051,3.027530874856512,0.8810400699618068,0.8176404138068797,0.21073496050321477,1509844.4,0.40581903435442274,-0.04886818883581099,0.2918305607903361,0.3461041754514882,8.51411468468223,345,3.027530874856512
"Life, Physical, and Social Science",1600,0.43237337346763166,2.312815870181844,0.7670226933423362,0.8777888460256741,0.1428904804369468,1333544.4,0.3762964452098148,-0.028930341361585777,0.22771739462162818,0.2336192296336022,10.548970394894429,354,2.312815870181844
Management,10,0.4910407525644986,2.0364908508660884,0.7014890261841985,0.6141587902429951,0.20957855637143394,14684350.6,-0.0064791793931036675,0.030370796803597156,-0.013400447634935704,0.08363992799255317,22.030856097735683,520,2.0364908508660884
Office and Administrative Support,5000,0.7825714466002809,1.277838597797418,0.3758382852881882,0.26015853003336303,0.20214630501490738,13401599.399999999,-0.08914952174674234,0.0017212323666888655,-0.21713104595809593,0.0469261708822821,64.20908369763391,520,1.277838597797418
Personal Care and Service,4300,0.8762265008225352,1.1412574249480878,0.27122207018601535,0.19455805239316865,0.1827037869374569,3809886.0,-0.21708296895097162,0.009765448590645225,-0.27267202200725044,0.06556738638009338,157.36422197671047,517,1.1412574249480878
Production,7700,0.8700445206114443,1.149366470691898,0.2781275743992326,0.11210454821421546,0.21474338453238775,5632096.2,0.07868173968841292,-0.03716410524679681,0.159349871691183,0.047560757891927055,80.61028557313355,520,1.149366470691898
Protective Service,3700,0.8646411781769847,1.1565491272442132,0.28416331095491965,0.3102552737139583,0.14698156302090215,2450076.0,0.1245413237366817,-0.03864744301208924,0.2457086804156242,0.22375177795254333,6.555388669389754,490,1.1565491272442132
Sales and Related,4700,0.7504404067684741,1.3325508474499295,0.4117298642575806,0.3435450223109991,0.18724053506806418,10184035.2,-0.10627783644282825,0.002113925465298261,-0.18987911380005384,0.059805424064029916,118.40378811648382,520,1.3325508474499295
Transportation and Material Moving,9000,0.8965253677528744,1.1154174058749537,0.2485474729979637,0.11636298160342164,0.2011632490538526,7285387.4,0.029777977218831363,0.052049094477617866,0.03895014185484997,0.05722823660339083,90.29591889714013,520,1.1154174058749537
_POOLED,0,,,,,,,-0.10402115157745928,-0.010219366755057758,-0.10183554501033909,0.013073007486017673,2090.7046569530025,10578,
